lat,lon,depth,mag,remark,strike1,dip1,rake1,strike2,dip2,rake2
-2.14,138.24,10,5.2,Irian Jaya - Indonesia,,,,,,
-2.32,138.18,51,5.8,Irian Jaya - Indonesia,181.6,58.7,104.1,335.88,34.0,68.2
-2.32,138.18,51,5.8,Irian Jaya - Indonesia,,,,,,
-2.16,138.30,33,6.0,Irian Jaya - Indonesia,187.2,44.8,122.4,325.31,53.5,61.9
-2.16,138.30,33,6.0,Irian Jaya - Indonesia,,,,,,
-2.00,138.23,15,3.6,Irian Jaya - Indonesia,,,,,,
-2.16,138.23,10,4.8,Irian Jaya - Indonesia,,,,,,
-2.06,138.24,18,4.7,Irian Jaya - Indonesia,,,,,,
-2.03,138.28,20,4.5,Irian Jaya - Indonesia,,,,,,
-2.01,138.33,24,4.0,Irian Jaya - Indonesia,,,,,,
-2.28,138.04,14,3.7,Irian Jaya - Indonesia,,,,,,
-2.01,138.34,16,4.4,Irian Jaya - Indonesia,,,,,,
-2.05,138.26,10,4.0,Irian Jaya - Indonesia,,,,,,
-2.06,138.24,10,4.8,Irian Jaya - Indonesia,,,,,,
-2.01,138.22,14,4.3,Irian Jaya - Indonesia,,,,,,
-2.19,138.24,45,6.2,Irian Jaya - Indonesia,189.0,49.5,101.4,351.69,41.8,77.0
-2.19,138.24,45,6.2,Irian Jaya - Indonesia,,,,,,
-3.44,139.28,11,3.2,Irian Jaya - Indonesia,,,,,,
-2.24,138.23,10,4.8,Irian Jaya - Indonesia,,,,,,
-2.06,138.37,30,4.4,Irian Jaya - Indonesia,,,,,,
-2.22,138.29,17,4.8,Irian Jaya - Indonesia,,,,,,
-2.00,138.24,15,4.6,Irian Jaya - Indonesia,,,,,,
-2.22,138.26,15,4.5,Irian Jaya - Indonesia,,,,,,
-2.27,138.20,10,4.7,Irian Jaya - Indonesia,,,,,,
-2.09,137.95,10,3.5,Irian Jaya - Indonesia,,,,,,
-2.02,138.21,177,4.0,Irian Jaya - Indonesia,,,,,,
-2.04,138.18,10,4.1,Irian Jaya - Indonesia,,,,,,
-2.10,138.95,10,2.6,Irian Jaya - Indonesia,,,,,,
-2.02,138.24,13,4.5,Irian Jaya - Indonesia,,,,,,
-2.64,138.88,83,4.2,Irian Jaya - Indonesia,,,,,,
-2.87,137.67,90,4.4,Irian Jaya - Indonesia,,,,,,
-3.34,138.00,99,4.0,Irian Jaya - Indonesia,,,,,,
-2.45,138.97,82,3.2,Irian Jaya - Indonesia,,,,,,
-3.07,140.17,53,3.0,Irian Jaya - Indonesia,,,,,,
-3.27,140.25,29,3.3,Irian Jaya - Indonesia,,,,,,
-2.39,138.77,61,4.1,Irian Jaya - Indonesia,,,,,,
-3.03,139.39,91,2.4,Irian Jaya - Indonesia,,,,,,
-3.61,139.98,95,4.7,Irian Jaya - Indonesia,,,,,,
-0.46,133.40,10,4.9,Irian Jaya Region - Indonesia,,,,,,
-0.43,133.36,10,4.9,Irian Jaya Region - Indonesia,,,,,,
-0.43,133.40,10,4.8,Irian Jaya Region - Indonesia,,,,,,
-1.06,136.64,10,4.2,Irian Jaya Region - Indonesia,,,,,,
-2.72,135.56,10,4.7,Irian Jaya Region - Indonesia,,,,,,
-0.93,132.19,62,4.8,Irian Jaya Region - Indonesia,,,,,,
-0.26,133.58,10,5.7,Irian Jaya Region - Indonesia,,,,,,
-1.07,133.16,10,5.7,Irian Jaya Region - Indonesia,,,,,,
-0.52,133.51,10,5.9,Irian Jaya Region - Indonesia,,,,,,
-0.82,133.41,51,7.5,Irian Jaya Region - Indonesia,,,,,,
-0.27,132.75,10,5.3,Irian Jaya Region - Indonesia,,,,,,
-0.22,133.10,10,5.4,Irian Jaya Region - Indonesia,,,,,,
-0.88,132.53,58,5.2,Irian Jaya Region - Indonesia,,,,,,
-0.40,133.02,10,5.9,Irian Jaya Region - Indonesia,,,,,,
-1.13,133.16,10,5.5,Irian Jaya Region - Indonesia,,,,,,
-0.52,132.72,10,5.7,Irian Jaya Region - Indonesia,,,,,,
1.63,134.40,10,5.9,Irian Jaya Region - Indonesia,,,,,,
-0.25,133.77,178,6.1,Irian Jaya Region - Indonesia,,,,,,
-0.37,133.64,10,6.5,Irian Jaya Region - Indonesia,,,,,,
-0.77,132.04,10,6.9,Irian Jaya Region - Indonesia,,,,,,
-0.54,132.89,17,7.9,Irian Jaya Region - Indonesia,,,,,,
-0.41,132.90,10,5.0,Irian Jaya Region - Indonesia,,,,,,
